rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
1,California,San Francisco County,-66.33,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,880696,Yes,,before,3/17/2020,5/1/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/17/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
2,Virginia,Falls Church,-64.19,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
3,California,Santa Clara County,-62.67,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,1932337,Yes,,before,3/17/2020,5/1/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/17/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
4,Colorado,San Miguel County,-60,Stay at home,3/26/2020,,Jared Polis,Democratic,8180,,,,,,,,,,,,
5,Virginia,Arlington County,-59.43,Stay at home,3/30/2020,,Ralph Northam,Democratic,236025,,,,,,,,,,,,
6,Colorado,Summit County,-57.1,Stay at home,3/26/2020,,Jared Polis,Democratic,30817,,,,,,,,,,,,
7,Colorado,Pitkin County,-56.8,Stay at home,3/26/2020,,Jared Polis,Democratic,17976,,,,,,,,,,,,
8,California,San Mateo County,-56.33,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,768681,Yes,,before,3/17/2020,5/1/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/17/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/16/2020,https://www.smdailyjournal.com/coronavirus/schools-prepare-to-close/article_a579101a-64e3-11ea-a3f5-9ff474e1a49e.html
9,New York,New York County,-54.5,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,1629055,,,,,,,,,,,,
10,Pennsylvania,Centre County,-53.69,Stay at home,4/1/2020,,Tom Wolf,Democratic,162601,,,,,,,,,,,,
11,Colorado,Eagle County,-52.55,Stay at home,3/26/2020,,Jared Polis,Democratic,54943,,,,,,,,,,,,
12,Idaho,Blaine County,-52,Stay at home,3/25/2020,,Brad Little,Republican,22771,,,,,,,,,,,,
13,California,Alameda County,-51.67,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,1666756,,,before,3/17/2020,5/1/2020,,Yes,3/17/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/16/2020,https://patch.com/california/alameda/school-canceled-alameda-3-weeks-coronavirus
14,Pennsylvania,Montgomery County,-51.62,Stay at home,4/1/2020,,Tom Wolf,Democratic,826924,,,,,,,,,,,,
15,Colorado,Boulder County,-51.5,Stay at home,3/26/2020,,Jared Polis,Democratic,324636,,,,,,,,,,,,
16,Virginia,Fairfax,-51.29,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
17,Virginia,Charlottesville,-51.14,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
18,Pennsylvania,Chester County,-50.81,Stay at home,4/1/2020,,Tom Wolf,Democratic,522086,,,,,,,,,,,,
19,Texas,Collin County,-50.35,Stay at home,4/2/2020,,Greg Abbott,Republican,1004307,,,,,,,,,,,,
20,Virginia,Fairfax County,-50.07,Stay at home,3/30/2020,,Ralph Northam,Democratic,1148463,,,,,,,,,,,,
21,Nevada,Clark County,-49.93,Stay at home,4/1/2020,NV,Steve Sisolak,Democratic,2226115,Yes,SAH directive,,4/1/2020,4/30/2020,https://www.washingtonpost.com/health/2020/04/06/coronavirus-stay-at-home-by-state/#mississippi,Yes,3/20/2020,https://thenevadaindependent.com/article/sisolak-orders-all-non-essential-businesses-to-close-warns-of-criminal-penalties-for-noncompliance,Yes,3/15/2020,https://www.fox5vegas.com/coronavirus/all-nevada-schools-to-close-gov-sisolak-pushes-heavy-covid-19-precautions/article_22986a88-6704-11ea-8169-2762e138bc68.html
22,Virginia,Loudoun County,-49.86,Stay at home,3/30/2020,,Ralph Northam,Democratic,405522,,,,,,,,,,,,
23,Pennsylvania,Allegheny County,-49.75,Stay at home,4/1/2020,PA,Tom Wolf,Democratic,1217281,,,,,,,,,,,,
24,Maryland,Howard County,-49.29,Stay at home,3/30/2020,,Larry Hogan,Republican,322621,,,,,,,,,,,,
25,Tennessee,Williamson County,-49.27,Stay at home,3/31/2020,,Bill Lee,Republican,231978,,,,,,,,,,,,
26,Georgia,Forsyth County,-49.17,Shelter in place,4/3/2020,,Brian Kemp,Republican,236993,,,,,,,,,,,,
27,Texas,Travis County,-49.12,Stay at home,4/2/2020,,Greg Abbott,Republican,1246572,,,,,,,,,,,,
28,Georgia,Fulton County,-49,Shelter in place,4/3/2020,GA,Brian Kemp,Republican,1050131,Yes,shelter in place,,,,,,,,,,
29,Colorado,Douglas County,-48.7,Stay at home,3/26/2020,,Jared Polis,Democratic,342989,,,,,,,,,,,,
30,Virginia,Alexandria,-48.5,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
31,Maryland,Montgomery County,-48.43,Stay at home,3/30/2020,MD,Larry Hogan,Republican,1048478,,,,,,,,,,,,
32,California,Marin County,-48.33,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,259662,Yes,,before,3/17/2020,5/1/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/17/2020,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,Yes,3/16/2020,https://www.marinij.com/2020/03/13/all-marin-public-schools-suspend-classes-for-2-weeks-amid-coronavirus-concerns/
33,Massachusetts,Middlesex County,-48.25,Stay at home advisory,3/24/2020,MA,Charles D. Baker,Republican,1608470,Yes,Stay at home advisory,same,3/24/2020,3/4/2020,https://www.mass.gov/news/dph-public-health-advisory-stay-at-home-advisory,Yes,3/24/2020,https://www.mass.gov/doc/march-23-2020-essential-services-and-revised-gatherings-order/download,Yes,3/16/2020,https://www.mass.gov/doc/march-15-2020-school-closure-order/download
34,Colorado,Gunnison County,-48.17,Stay at home,3/26/2020,,Jared Polis,Democratic,17167,,,,,,,,,,,,
35,Colorado,Broomfield County,-47.8,Stay at home,3/26/2020,,Jared Polis,Democratic,69324,,,,,,,,,,,,
36,Texas,Williamson County,-47.29,Stay at home,4/2/2020,,Greg Abbott,Republican,566463,,,,,,,,,,,,
37,Massachusetts,Suffolk County,-47.25,Stay at home advisory,3/24/2020,,Charles D. Baker,Republican,803147,,,,,,,,,,,,
38,Pennsylvania,Philadelphia County,-47.06,Stay at home,4/1/2020,PA,Tom Wolf,Democratic,1583592,,,,,,,,,,,,
39,Virginia,Williamsburg,-46.86,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
40,Colorado,Routt County,-46.67,Stay at home,3/26/2020,,Jared Polis,Democratic,25507,,,,,,,,,,,,
41,Michigan,Washtenaw County,-46.5,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,369483,,,,,,,,,,,,
41,Pennsylvania,Delaware County,-46.5,Stay at home,4/1/2020,,Tom Wolf,Democratic,565231,,,,,,,,,,,,
42,New Jersey,Hudson County,-46.2,Stay at home,3/21/2020,,Phil Murphy,Democratic,671931,,,,,,,,,,,,
43,North Carolina,Orange County,-45.57,Stay at home,3/30/2020,,Roy Cooper,Democratic,147980,,,,,,,,,,,,
44,Virginia,Albemarle County,-45.43,Stay at home,3/30/2020,,Ralph Northam,Democratic,108377,,,,,,,,,,,,
45,Pennsylvania,Bucks County,-45.19,Stay at home,4/1/2020,,Tom Wolf,Democratic,627812,,,,,,,,,,,,
46,Texas,Denton County,-45.06,Stay at home,4/2/2020,,Greg Abbott,Republican,858741,,,,,,,,,,,,
47,New Jersey,Somerset County,-45,Stay at home,3/21/2020,,Phil Murphy,Democratic,330181,,,,,,,,,,,,
48,Georgia,Cobb County,-44.72,Shelter in place,4/3/2020,,Brian Kemp,Republican,756070,,,,,,,,,,,,
